"Player","VORP","G","MP","draftYear","Amateur","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg3_per_g","fg3a_per_g","fg2_per_g","fg2a_per_g","efg_pct","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","mp","fg_per_mp","fga_per_mp","fg3_per_mp","fg3a_per_mp","fg2_per_mp","fg2a_per_mp","ft_per_mp","fta_per_mp","orb_per_mp","drb_per_mp","trb_per_mp","ast_per_mp","stl_per_mp","blk_per_mp","tov_per_mp","pf_per_mp","pts_per_mp","games","link","Year"
"Marc Gasol",30.7,"629","21255",2007,"Euro",22.3368721461187,"Center","2003-04",5.8,0.4,1.1,0,0.1,0.4,1,0.385,0.4,0.7,0.7,0.4,1.1,0,0,0.2,0.3,0.8,1.3,133,2.7,7,0,0.5,2.7,6.5,2.7,4.1,4.3,2.7,7,0.3,0.3,1.4,2.2,4.9,8.1,23,"http://www.basketball-reference.com/players/g/gasolma01.html",2004
"Marc Gasol",30.7,"629","21255",2007,"Euro",22.3368721461187,"Center","2004-05",16.4,1.9,3.3,0,0.1,1.9,3.2,0.571,1.3,1.9,1.3,2.5,3.8,0.6,0.5,0.9,1.1,2.6,5.1,345,4.2,7.3,0,0.3,4.2,7,2.8,4.2,2.9,5.4,8.3,1.3,1.1,1.9,2.4,5.6,11.2,21,"http://www.basketball-reference.com/players/g/gasolma01.html",2005
"Marc Gasol",30.7,"629","21255",2007,"Euro",22.3368721461187,"Center","2005-06",9,1.1,1.7,0,0,1.1,1.7,0.664,0.8,1.5,0.6,1.6,2.2,0.4,0.3,0.6,0.6,1.4,3.1,306,4.5,6.8,0.1,0.1,4.4,6.7,3.3,6,2.6,6.2,8.8,1.4,1.2,2.4,2.6,5.6,12.4,34,"http://www.basketball-reference.com/players/g/gasolma01.html",2006
"Marc Gasol",30.7,"629","21255",2007,"Euro",22.3368721461187,"Center","2006-07",22.8,3.9,6.3,0.2,0.3,3.7,6,0.624,2.9,4.5,2.1,3.4,5.5,1.2,0.9,0.9,1.2,2.1,10.8,751,6.1,10,0.2,0.5,5.9,9.5,4.6,7.1,3.3,5.4,8.7,1.9,1.4,1.4,1.9,3.3,17.2,33,"http://www.basketball-reference.com/players/g/gasolma01.html",2007
"Marc Gasol",30.7,"629","21255",2007,"Euro",22.3368721461187,"Center","2007-08",31.3,5.3,8.3,0.3,0.8,5,7.5,0.66,4.4,6.1,1.9,5.7,7.6,2.3,1.2,1.7,2.1,1.9,15.3,1596,6.1,9.5,0.4,0.9,5.8,8.6,5,7,2.2,6.5,8.7,2.7,1.3,1.9,2.4,2.2,17.6,51,"http://www.basketball-reference.com/players/g/gasolma01.html",2008
"Nicolas Batum",23.1,"610","19334",2008,"Euro",19.537100456621,"Small Forward and Shooting Guard","2005-06",2,1,2.5,0,1,1,1.5,0.4,1,1.5,0.5,0.5,1,0,0,0,0,0,3,4,18,45,0,18,18,27,18,27,9,9,18,0,0,0,0,0,54,2,"http://www.basketball-reference.com/players/b/batumni01.html",2006
"Nicolas Batum",23.1,"610","19334",2008,"Euro",19.537100456621,"Small Forward and Shooting Guard","2006-07",15.5,1.9,3.8,0.4,1.4,1.5,2.4,0.559,0.6,0.9,0.9,1.7,2.6,1.1,0.5,0.4,1,1.6,4.8,697,4.4,8.8,0.9,3.3,3.5,5.5,1.3,2.1,2,3.9,5.9,2.6,1.2,1,2.4,3.6,11.1,45,"http://www.basketball-reference.com/players/b/batumni01.html",2007
"Nicolas Batum",23.1,"610","19334",2008,"Euro",19.537100456621,"Small Forward and Shooting Guard","2007-08",28.1,4.1,8.2,0.9,2.8,3.2,5.4,0.561,2,2.7,1.3,3.2,4.6,3.3,1.4,0.7,2.3,1.9,11.2,1210,5.3,10.4,1.2,3.6,4.1,6.9,2.6,3.5,1.7,4.1,5.8,4.3,1.8,0.9,2.9,2.5,14.3,43,"http://www.basketball-reference.com/players/b/batumni01.html",2008
"Nicolas Batum",23.1,"610","19334",2008,"Euro",19.537100456621,"Small Forward and Shooting Guard","2011-12",37.1,5.4,11.8,1.2,3.2,4.2,8.6,0.512,4.5,5.4,1.4,4.9,6.3,4.6,1.9,0.9,3.8,1.6,16.6,520,5.3,11.4,1.2,3.1,4.1,8.3,4.4,5.3,1.4,4.7,6.1,4.5,1.9,0.9,3.7,1.6,16.1,14,"http://www.basketball-reference.com/players/b/batumni01.html",2012
"Boris Diaw",19.4,"1044","28410",2003,"Euro",21.1260273972603,"Shooting Guard and Power Forward","2001-02",21.8,2.7,5.4,0.4,1.1,2.3,4.2,0.547,0.8,1.5,0.8,2.1,2.9,1.7,0.4,0.4,0.8,2.3,6.6,305,4.5,8.9,0.7,1.9,3.8,7,1.3,2.5,1.3,3.4,4.7,2.8,0.6,0.6,1.3,3.8,11,14,"http://www.basketball-reference.com/players/d/diawbo01.html",2002
"Boris Diaw",19.4,"1044","28410",2003,"Euro",21.1260273972603,"Shooting Guard and Power Forward","2002-03",24.8,2.7,5,0.4,1.3,2.2,3.7,0.571,0.9,1.5,1.1,4,5.1,3.7,1.4,1,1.9,2.1,6.7,944,3.9,7.3,0.6,1.9,3.2,5.4,1.3,2.2,1.6,5.8,7.4,5.4,2,1.4,2.7,3.1,9.6,38,"http://www.basketball-reference.com/players/d/diawbo01.html",2003
"Goran Dragic",14.6,"629","17263",2008,"Euro",22.0712328767123,"Point Guard and Shooting Guard","2006-07",15.9,1.7,4.4,0.4,1.3,1.3,3.1,0.424,0.9,1.3,0.7,1.1,1.9,1.7,0.6,0.1,1.5,2.3,4.6,430,3.8,10,0.9,2.8,2.8,7.1,1.9,2.9,1.6,2.6,4.2,3.8,1.4,0.3,3.4,5.3,10.4,27,"http://www.basketball-reference.com/players/d/dragigo01.html",2007
"Goran Dragic",14.6,"629","17263",2008,"Euro",22.0712328767123,"Point Guard and Shooting Guard","2007-08",27.5,3.9,7.8,0.7,2.5,3.2,5.3,0.544,1.3,1.8,1.3,1.6,2.9,3.1,1.2,0.3,2.5,3.2,9.7,358,5.1,10.3,0.9,3.3,4.2,6.9,1.7,2.4,1.7,2.1,3.8,4,1.5,0.4,3.3,4.2,12.7,13,"http://www.basketball-reference.com/players/d/dragigo01.html",2008
"Goran Dragic",14.6,"629","17263",2008,"Euro",22.0712328767123,"Point Guard and Shooting Guard","2011-12",7.3,1,3.5,0.3,1.5,0.8,2,0.321,0.3,0.3,0,0.8,0.8,0.3,0.5,0,1,0.8,2.5,29,5,17.4,1.2,7.4,3.7,9.9,1.2,1.2,0,3.7,3.7,1.2,2.5,0,5,3.7,12.4,4,"http://www.basketball-reference.com/players/d/dragigo01.html",2012
"Anderson Varejao",13.3,"627","15051",2004,"Euro",21.3260273972603,"Power Forward and Center","2001-02",13.6,1.7,3.5,0.1,0.1,1.6,3.4,0.513,1,1.5,1.6,2.6,4.3,0.3,1.1,0.5,1,2.8,4.5,150,4.6,9.1,0.2,0.2,4.3,8.9,2.6,4.1,4.3,7,11.3,0.7,2.9,1.2,2.6,7.4,12,11,"http://www.basketball-reference.com/players/v/varejan01.html",2002
"Anderson Varejao",13.3,"627","15051",2004,"Euro",21.3260273972603,"Power Forward and Center","2002-03",15,2,3.9,0.2,0.8,1.7,3.2,0.529,0.6,1.7,1.2,2.4,3.6,0.2,0.7,0.7,1.2,2.4,4.8,389,4.7,9.4,0.6,1.9,4.2,7.6,1.5,4,3,5.7,8.7,0.5,1.6,1.6,3,5.7,11.5,26,"http://www.basketball-reference.com/players/v/varejan01.html",2003
"Anderson Varejao",13.3,"627","15051",2004,"Euro",21.3260273972603,"Power Forward and Center","2003-04",20.7,2.9,5.7,0.2,1,2.7,4.7,0.529,1.5,2.6,1.8,2.9,4.7,0.8,1.2,0.7,1.3,2.8,7.6,931,5.1,10,0.4,1.7,4.6,8.2,2.7,4.5,3.1,5.1,8.1,1.5,2,1.2,2.3,4.8,13.2,45,"http://www.basketball-reference.com/players/v/varejan01.html",2004
"Thabo Sefolosha",13.1,"727","16876",2006,"Euro",22.0821917808219,"Shooting Guard and Small Forward","2002-03",4.6,0.2,0.6,0,0.2,0.2,0.4,0.333,0.6,1,0,1,1,0.4,0.2,0,0,0.4,1,23,1.6,4.7,0,1.6,1.6,3.1,4.7,7.8,0,7.8,7.8,3.1,1.6,0,0,3.1,7.8,5,"http://www.basketball-reference.com/players/s/sefolth01.html",2003
